file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.250000,0 days 00:00:00.270000,0.099366255,10.787277,15.358733,0.07482875,0.043115426,0.03902108,27.493324,-49.752872,4.128618,1.2671971,0.0,0.0,0.0,0.0,0.0,0.0,970.1333,1282.3623,-201.0,1864.3297,1257.6299,-201.0,2641.529,1341.4103,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.260000,0 days 00:00:00.280000,0.08431718,6.570997,13.190402,0.068722926,0.034025136,0.031102179,30.549135,-43.706364,9.461953,-0.76238674,0.0,0.0,0.0,0.0,0.0,0.0,952.5857,1206.8065,-201.0,1823.1185,1278.631,-201.0,2582.373,1363.0062,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.270000,0 days 00:00:00.290000,0.039641093,4.0130186,9.468727,0.04454267,0.030921692,0.018000318,23.07118,-30.837519,13.25368,-2.9857695,0.0,0.0,0.0,0.0,0.0,0.0,745.3589,1402.2523,-201.0,1661.152,1217.2324,-201.0,2598.0935,1022.6548,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.280000,0 days 00:00:00.300000,0.026171157,1.9208616,4.470486,0.033351872,0.024268249,0.0041243318,18.912903,-27.949183,21.361992,-11.740856,0.0,0.0,0.0,0.0,0.0,0.0,598.1993,1384.9565,-201.0,1555.4686,1147.7115,-201.0,2519.8772,1012.10425,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.290000,0 days 00:00:00.310000,0.02406039,0.53565484,3.7891724,0.03437915,0.019326804,0.0014013733,18.834457,-24.7529,20.173801,-17.063644,0.0,0.0,0.0,0.0,0.0,0.0,586.3211,1406.6538,-201.0,1569.6185,1117.1089,-201.0,2512.5288,981.9393,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.300000,0 days 00:00:00.320000,0.025552934,0.04189086,4.261358,0.040962465,0.020470621,0.0014174305,20.28512,-23.804108,22.478052,-18.058914,0.0,0.0,0.0,0.0,0.0,0.0,575.81354,1309.7062,-201.0,1514.7968,1094.3208,-201.0,2439.8027,899.84106,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.310000,0 days 00:00:00.330000,0.026041828,-1.5324904,5.696403,0.058007162,0.019656787,0.0016151828,23.375483,-24.160706,18.18464,-17.454535,0.0,0.0,0.0,0.0,0.0,0.0,731.37225,1398.4576,-201.0,1640.5355,1183.4003,-201.0,2576.5884,872.5744,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.320000,0 days 00:00:00.340000,0.026116231,-1.9655066,6.836512,0.062173396,0.020795105,0.0015214892,24.155533,-24.65715,16.601505,-16.203848,0.0,0.0,0.0,0.0,0.0,0.0,752.5718,1582.6279,-201.0,1778.7789,1215.4438,-201.0,2756.0918,863.91534,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.330000,0 days 00:00:00.350000,0.024472127,-1.6272322,6.936886,0.06005924,0.021007456,0.0013436499,24.057585,-26.103647,13.463153,-12.811631,0.0,0.0,0.0,0.0,0.0,0.0,906.7246,1541.3818,-201.0,1922.9854,1221.7222,-201.0,2870.1006,976.8864,-201.0
speech_recordings/test_1_recording_01_0.flac,0 days 00:00:00.340000,0 days 00:00:00.360000,0.025839737,-1.0535637,6.8238754,0.061439622,0.021838874,0.0011916697,24.33425,-25.843538,16.027653,-10.716496,0.0,0.0,0.0,0.0,0.0,0.0,1007.6667,1458.1211,-201.0,2073.4941,1168.8324,-201.0,2999.71,939.74854,-201.0
