Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
0.08177084,0.19496167,5.9088936,-0.030524144,0.000151072,0.015424728,-12.254773,51.94723,5.288603,-4.509125,0.0,0.0,0.0,0.0,0.0,0.0,1149.9805,855.9406,-201.0,1791.6846,1270.2181,-201.0,3103.032,1068.4598,-201.0
0.078827545,0.17931123,5.155109,-0.038216025,0.001601101,0.0124358535,-12.726546,49.71757,6.324234,-1.1781671,0.0,0.0,0.0,0.0,0.0,0.0,1060.8364,951.38324,-201.0,1802.2865,1081.8755,-201.0,3094.261,944.0835,-201.0
0.07410104,-1.1908945,6.1310782,-0.059959035,0.0007008176,0.012396929,-12.141665,48.52663,6.1661263,0.9423712,0.0,0.0,0.0,0.0,0.0,0.0,1022.9199,875.8378,-201.0,1832.6846,1105.8436,-201.0,3097.7285,945.5383,-201.0
0.068531916,-2.4071157,7.796288,-0.062486645,0.0008600911,0.011120398,-10.4765215,46.249943,3.8917148,3.3941002,0.0,0.0,0.0,0.0,0.0,0.0,903.25214,899.98895,-201.0,1977.152,1089.4415,-201.0,3050.4094,1110.2086,-201.0
0.059480753,-3.039148,8.506304,-0.06674275,0.00053153886,0.009868349,-9.011859,41.274364,1.350901,3.454507,0.0,0.0,0.0,0.0,0.0,0.0,1271.3344,808.2578,-201.0,2117.5256,1307.5674,-201.0,3450.79,1153.6346,-201.0
0.05177663,-2.978962,7.931521,-0.03748643,0.00186289,0.0076278616,-6.099587,33.569202,-1.0223278,0.012313207,0.0,0.0,0.0,0.0,0.0,0.0,1018.2669,965.12305,-201.0,2114.6711,1296.3585,-201.0,3072.426,1091.0541,-201.0
0.044252772,-2.8137586,6.8890724,-0.044521805,-0.0020679513,0.0066509875,-3.8728545,28.156416,0.15283291,-4.0495644,0.0,0.0,0.0,0.0,0.0,0.0,834.2399,1084.0956,-201.0,2107.7869,888.06104,-201.0,2839.2195,708.3352,-201.0
0.03845484,-3.8736248,9.058788,-0.031416427,-0.0005314443,0.004604668,-1.4196619,22.728363,0.7435133,-5.6725197,0.0,0.0,0.0,0.0,0.0,0.0,761.9033,997.3076,-201.0,2067.075,770.064,-201.0,2771.0593,361.03247,-201.0
0.03394845,-5.6732807,11.444711,-0.035331737,-0.004037006,0.0037575539,2.27362,18.315516,1.6428633,-6.924147,0.0,0.0,0.0,0.0,0.0,0.0,716.4659,910.8841,-201.0,1935.1367,587.8304,-201.0,2786.827,296.62808,-201.0
0.03160135,-9.217888,15.486951,-0.03170645,-0.0027505932,0.003917584,5.6385517,14.6562605,2.600496,-5.806385,0.0,0.0,0.0,0.0,0.0,0.0,662.674,918.74286,-201.0,1741.6185,1066.0585,-201.0,2561.0928,620.9671,-201.0
0.029892499,-11.995183,17.929945,-0.047039002,-0.003994635,0.004068272,9.464961,14.774821,4.7304688,-8.038631,0.0,0.0,0.0,0.0,0.0,0.0,660.7244,1065.3942,-201.0,1946.5375,1040.8945,-201.0,2622.2717,549.7875,-201.0
0.028784519,-12.678146,19.389715,-0.040578622,-0.0029093383,0.0047059734,10.350165,13.438897,6.175739,-6.334366,0.0,0.0,0.0,0.0,0.0,0.0,654.30316,1038.9344,-201.0,1937.5557,944.25684,-201.0,2614.5264,523.71655,-201.0
0.027502628,-12.374822,18.644625,-0.04190753,-0.0026278377,0.003798928,11.205726,11.745482,6.6216836,-4.292605,0.0,0.0,0.0,0.0,0.0,0.0,649.72894,1037.96,-201.0,1849.4645,835.4183,-201.0,2654.5825,323.62204,-201.0
0.02636765,-11.551403,19.357985,-0.02639546,-0.005183852,0.0032750415,11.518593,8.829024,5.7249084,-1.1029223,0.0,0.0,0.0,0.0,0.0,0.0,562.7439,1089.7875,-201.0,1362.2902,1644.7057,-201.0,2404.3147,538.51605,-201.0
0.025218733,-11.502757,18.813353,-0.0066183642,-0.0022475466,0.0026207326,13.133204,9.091447,7.570087,0.9739986,0.0,0.0,0.0,0.0,0.0,0.0,720.62286,1204.854,-201.0,1556.1486,1635.7178,-201.0,2579.7097,628.9349,-201.0
0.023461573,-9.317981,16.166534,0.027307259,0.0004092194,0.002473555,12.407594,8.974347,8.155413,3.1520493,0.0,0.0,0.0,0.0,0.0,0.0,959.7741,1137.1232,-201.0,1872.9205,1421.3546,-201.0,2991.0334,677.4024,-201.0
0.023062088,-8.247715,14.399907,0.040184155,-0.00021176755,0.0025406238,12.577872,7.5753436,7.588801,2.91506,0.0,0.0,0.0,0.0,0.0,0.0,894.948,1017.3411,-201.0,1964.476,731.42413,-201.0,3035.5361,707.78094,-201.0
0.022721047,-9.779493,15.294486,0.029643795,-0.0022803368,0.0022565213,13.044818,8.883915,7.493958,5.7997456,0.0,0.0,0.0,0.0,0.0,0.0,795.509,1286.6874,-201.0,1911.111,764.2116,-201.0,3131.3577,780.27423,-201.0
0.023595067,-12.427999,18.499777,0.009271787,-0.004829193,0.0022264333,14.713028,10.644686,8.949883,8.480007,0.0,0.0,0.0,0.0,0.0,0.0,514.32153,1488.7379,-201.0,1635.2133,937.8382,-201.0,2669.9285,931.64044,-201.0
0.023072323,-13.318925,18.5305,0.019723376,-0.0069542364,0.0025212164,15.728761,13.696503,12.025639,7.8675704,0.0,0.0,0.0,0.0,0.0,0.0,492.6285,1562.9027,-201.0,1741.0244,863.3006,-201.0,2611.582,1557.2115,-201.0
